ATA_System	Compon_Code	Last_Change_Date	Compon_Name	Seg_Code	Seg_Suff	Severity_Factor
3397	    	04/19/2001	LIGHT WIRING                  	1	1	1
3400	    	06/28/1991	NAVIGATION SYSTEM             	4	5	1
3410	    	06/28/1991	FLIGHT ENVIRONMENT DATA       	4	5	2
3411	    	06/28/1991	PITOT/STATIC SYSTEM           	1	1	2
3412	    	06/28/1991	AIR TEMPERATURE/THRUST LIMIT  	1	5	2
3413	    	06/28/1991	RATE OF CLIMB                 	4	5	2
3414	    	06/28/1991	AIRSPEED/MACH INDICATING      	4	5	2
3415	    	06/28/1991	HIGH SPEED WARNING            	4	5	2
3416	    	03/04/1993	ALTIMETER, BAROMETRIC/ENCODER 	4	5	2
3417	    	06/28/1991	AIR DATA COMPUTER             	4	5	2
3418	    	03/04/1993	STALL WARNING SYSTEM          	4	1	2
3420	    	06/28/1991	ATTITUDE & DIRECTION          	4	5	1
3421	    	06/28/1991	ATTITUDE GYRO & INDICATION    	4	5	1
3422	    	06/28/1991	DIRECTIONAL GYRO & INDICATION 	4	5	1
3423	    	06/28/1991	MAGNETIC COMPASS              	4	5	1
3424	    	06/28/1991	TURN AND BANK/RATE OF TURN    	4	5	1
3425	    	06/28/1991	INTEGRATED FLIGHT DIRECTOR SYS	4	5	1
3430	    	06/28/1991	LANDING AND TAXI AIDS         	4	5	1
3431	    	06/28/1991	LOCALIZER/VOR SYSTEM          	4	5	1
3432	    	06/28/1991	GLIDE SLOPE SYSTEM            	4	5	2
3433	    	06/28/1991	MICROWAVE LANDING SYSTEM      	4	5	1
3434	    	06/28/1991	MARKER BEACON SYSTEM          	4	5	1
3435	    	06/28/1991	HEADS UP DISPLAY SYSTEM       	4	5	1
3436	    	06/28/1991	WIND SHEAR DETECTION SYSTEM   	4	5	1
3440	    	06/28/1991	INDEP POSITION DETERMINING SYS	4	5	1
3441	    	06/28/1991	INERTIAL GUIDANCE SYSTEM      	4	5	1
3442	    	06/28/1991	WEATHER RADAR SYSTEM          	4	5	1
3443	    	06/28/1991	DOPPLER SYSTEM                	4	5	1
3444	    	06/28/1991	GROUND PROXIMITY SYSTEM       	4	4	1
3445	    	06/28/1991	AIR COLLISION AVOIDANCE (TCAS)	4	5	1
3446	    	06/28/1991	NON RADAR WEATHER SYSTEM      	4	5	1
3450	    	06/28/1991	DEPENDENT POSITION DETERMINING	4	5	1
3451	    	06/28/1991	DME/TACAN SYSTEM              	4	5	2
3452	    	06/28/1991	ATC TRANSPONDER SYSTEM        	4	5	1
3453	    	06/28/1991	LORAN SYSTEM                  	4	5	1
3454	    	06/28/1991	VOR SYSTEM                    	4	5	1
3455	    	06/28/1991	ADF SYSTEM                    	4	5	1
3456	    	06/28/1991	OMEGA NAVIGATION SYSTEM       	4	5	1
3457	    	06/28/1991	GLOBAL POSITIONING SYSTEM     	4	5	1
3460	    	06/28/1991	FLT MANAGEMENT COMPUTING SYS  	4	5	1
3461	    	03/20/2002	FLT MGMT COMPUTING SOFTWARE   	4	5	1
3497	    	04/19/2001	NAV SYS WIRING                	4	5	2
3500	    	06/28/1991	OXYGEN SYSTEM                 	1	1	1
3510	    	06/28/1991	CREW OXYGEN SYSTEM            	1	1	1
3520	    	06/28/1991	PASSENGER OXYGEN SYSTEM       	1	1	1
3530	    	06/28/1991	PORTABLE OXYGEN SYSTEM        	1	1	1
3597	    	04/19/2001	OXYGEN SYS WIRING             	1	1	1
3600	    	06/28/1991	PNEUMATIC SYSTEM              	1	1	1
3610	    	06/28/1991	PNEUMATIC DISTRIBUTION SYSTEM 	1	1	1
3620	    	06/28/1991	PNEUMATIC INDICATING SYSTEM   	1	1	1
3697	    	04/19/2001	PNUMATIC SYS WIRING           	1	1	1
3700	    	06/28/1991	VACUUM SYSTEM                 	1	1	1
3710	    	06/28/1991	VACUUM DISTRIBUTION SYSTEM    	1	1	1
3720	    	06/28/1991	VACUUM INDICATING SYSTEM      	1	1	1
3797	    	04/19/2001	VACUUM SYS WIRING             	1	1	1
